movie_title,original_genres,predicted_genres
Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']",Action Adventure
Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",
Tomorrowland,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",Science Fiction
Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",Comedy
Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",Comedy
The Polar Express,"['Adventure', 'Animation', 'Family', 'Fantasy']",
Independence Day: Resurgence,"['Action', 'Adventure', 'Science Fiction']",Action Science Fiction
How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",Adventure
Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'Science Fiction']",
Guardians of the Galaxy,"['Action', 'Science Fiction', 'Adventure']",Action Adventure Science Fiction
Interstellar,"['Adventure', 'Drama', 'Science Fiction']",Science Fiction
Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",Drama
Shin Godzilla,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",
The Hobbit: An Unexpected Journey,"['Adventure', 'Fantasy', 'Action']",Adventure
The Fast and the Furious,"['Action', 'Crime', 'Thriller']",Action Crime
The Curious Case of Benjamin Button,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",Drama
X-Men: First Class,"['Action', 'Science Fiction', 'Adventure']",Action Adventure Science Fiction
The Hunger Games: Mockingjay - Part 2,"['Action', 'Adventure', 'Science Fiction']",
The Sorcerer's Apprentice,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",Adventure Comedy Fantasy
Poseidon,"['Adventure', 'Action', 'Drama', 'Thriller']",
Alice Through the Looking Glass,['Fantasy'],
Shrek the Third,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",
Warcraft,"['Action', 'Adventure', 'Fantasy']",Action Adventure Fantasy
Terminator Genisys,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",Action Adventure Science Fiction
The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",Adventure Fantasy
Pearl Harbor,"['History', 'Romance', 'War']",Drama Romance
Transformers,"['Adventure', 'Science Fiction', 'Action']",Action Adventure
Alexander,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",Drama
Harry Potter and the Order of the Phoenix,"['Adventure', 'Fantasy', 'Family', 'Mystery']",Adventure Fantasy
Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",Adventure Fantasy
Hancock,"['Fantasy', 'Action']",
I Am Legend,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",Action Science Fiction
Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Family
Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']",Comedy
Batman Begins,"['Action', 'Crime', 'Drama']",Action
Madagascar: Escape 2 Africa,"['Family', 'Animation']",
Night at the Museum: Battle of the Smithsonian,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Comedy
X-Men Origins: Wolverine,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action
The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action Science Fiction Thriller
Frozen,"['Animation', 'Adventure', 'Family']",Drama
The Matrix Reloaded,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action Science Fiction Thriller
Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']",Action Adventure
Mad Max: Fury Road,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Action Science Fiction Thriller
Angels & Demons,"['Thriller', 'Mystery']",Thriller
Thor,"['Adventure', 'Fantasy', 'Action']",Action Adventure Fantasy
Bolt,"['Animation', 'Family', 'Adventure', 'Comedy']",Comedy Family
G-Force,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",Action Adventure
Wrath of the Titans,['Adventure'],
Dark Shadows,"['Comedy', 'Fantasy']",
Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",Action Thriller
The Wolfman,"['Drama', 'Horror', 'Thriller']",Drama
Bee Movie,"['Family', 'Animation', 'Adventure', 'Comedy']",Comedy
Kung Fu Panda 2,"['Animation', 'Family']",
The Last Airbender,"['Action', 'Adventure', 'Family', 'Fantasy']",
Mission: Impossible III,"['Adventure', 'Action', 'Thriller']",Action Thriller
White House Down,"['Action', 'Drama', 'Thriller']",
Mars Needs Moms,"['Adventure', 'Animation', 'Family']",Adventure Family Science Fiction
Flushed Away,"['Adventure', 'Animation', 'Comedy', 'Family']",Comedy
Pan,"['Adventure', 'Family', 'Fantasy']",Adventure Family Fantasy
Mr. Peabody & Sherman,"['Animation', 'Adventure', 'Family']",Comedy Family
Troy,"['Adventure', 'Drama', 'War']",Drama
Madagascar 3: Europe's Most Wanted,"['Animation', 'Family']",
Die Another Day,"['Adventure', 'Action', 'Thriller']",Action Adventure Thriller
Ghostbusters,"['Action', 'Fantasy', 'Comedy']",
Armageddon,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",Science Fiction
Men in Black II,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Action Adventure Science Fiction
Beowulf,"['Adventure', 'Action', 'Animation']",Adventure
Kung Fu Panda 3,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",
Mission: Impossible - Ghost Protocol,"['Action', 'Thriller', 'Adventure']",Action Thriller
Rise of the Guardians,"['Fantasy', 'Animation', 'Family']",Family
Fun with Dick and Jane,['Comedy'],Comedy
The Last Samurai,"['Drama', 'Action', 'War', 'History']",Action Drama
Exodus: Gods and Kings,"['Adventure', 'Drama', 'Action']",
Star Trek,"['Science Fiction', 'Action', 'Adventure']",Action Adventure Science Fiction
Spider-Man,"['Fantasy', 'Action']",Action
How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Adventure
Gods of Egypt,['Fantasy'],
Stealth,['Action'],Action
Watchmen,"['Action', 'Mystery', 'Science Fiction']",Action Thriller
Lethal Weapon 4,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Action Comedy
Hulk,"['Drama', 'Action', 'Science Fiction']",Action Science Fiction
G.I. Joe: Retaliation,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Action Thriller
Sahara,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",Action Adventure
Final Fantasy: The Spirits Within,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",Action Science Fiction
Captain America: The First Avenger,"['Action', 'Adventure', 'Science Fiction']",Action Adventure
The World Is Not Enough,"['Adventure', 'Action', 'Thriller']",Action Adventure Thriller
Master and Commander: The Far Side of the World,['Adventure'],
The Twilight Saga: Breaking Dawn - Part 2,"['Adventure', 'Fantasy', 'Drama', 'Romance']",
Happy Feet Two,"['Animation', 'Comedy', 'Family']",
The Incredible Hulk,"['Science Fiction', 'Action', 'Adventure']",Action Adventure Science Fiction
The BFG,"['Adventure', 'Family', 'Fantasy']",
The Revenant,"['Western', 'Drama', 'Adventure', 'Thriller']",Drama
Turbo,"['Animation', 'Family']",
Rango,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",
Penguins of Madagascar,"['Family', 'Animation', 'Adventure', 'Comedy']",
The Bourne Ultimatum,"['Action', 'Drama', 'Mystery', 'Thriller']",Action Thriller
Kung Fu Panda,"['Adventure', 'Animation', 'Family', 'Comedy']",Action Adventure
Ant-Man,"['Science Fiction', 'Action', 'Adventure']",Action Adventure
The Hunger Games: Catching Fire,"['Adventure', 'Action', 'Science Fiction']",
Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",Science Fiction
War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']",
Bad Boys II,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",Action Crime Thriller
Puss in Boots,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",Action Adventure Family
Salt,"['Action', 'Mystery', 'Thriller']",Action Thriller
Noah,"['Drama', 'Adventure']",Drama
The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']",Action Adventure
Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy', 'Family']",Adventure Fantasy
Australia,['Drama'],Drama
After Earth,"['Science Fiction', 'Action', 'Adventure']",
Dinosaur,"['Animation', 'Family']",
Night at the Museum: Secret of the Tomb,"['Adventure', 'Comedy', 'Fantasy', 'Family']",Adventure Comedy
Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",Comedy
Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy', 'Family']",Adventure Family Fantasy
R.I.P.D.,"['Fantasy', 'Action', 'Comedy', 'Crime']",Action
Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",
The Hunger Games: Mockingjay - Part 1,"['Science Fiction', 'Adventure', 'Thriller']",Action Adventure Science Fiction
The Da Vinci Code,"['Thriller', 'Mystery']",Thriller
Rio 2,"['Animation', 'Adventure', 'Comedy', 'Family']",Comedy
X2,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Action Adventure
Fast Five,"['Action', 'Thriller', 'Crime']",Action Crime Thriller
Sherlock Holmes: A Game of Shadows,"['Adventure', 'Action', 'Crime', 'Mystery']",
Clash of the Titans,"['Adventure', 'Fantasy', 'Action']",Action Adventure
Total Recall,"['Action', 'Adventure', 'Science Fiction']",Action Science Fiction Thriller
The 13th Warrior,"['Adventure', 'Fantasy', 'Action']",
The Bourne Legacy,"['Action', 'Thriller']",Action Thriller
Batman & Robin,"['Action', 'Crime', 'Fantasy']",Action
How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",Comedy Family
The Day After Tomorrow,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",
Mission: Impossible II,"['Adventure', 'Action', 'Thriller']",Action Adventure Thriller
The Perfect Storm,['Drama'],Drama
Fantastic 4: Rise of the Silver Surfer,"['Adventure', 'Fantasy', 'Action', 'Thriller']",Action Adventure
Life of Pi,"['Adventure', 'Drama', 'Action']",Drama
Ghost Rider,"['Thriller', 'Action', 'Fantasy', 'Horror']",
Jason Bourne,"['Action', 'Thriller']",Action Thriller
Charlie's Angels: Full Throttle,"['Action', 'Adventure', 'Comedy']",Action Thriller
Prometheus,"['Science Fiction', 'Adventure', 'Mystery']",Action Adventure Science Fiction
Stuart Little 2,"['Family', 'Adventure', 'Animation', 'Comedy']",Comedy
Elysium,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Science Fiction
The Chronicles of Riddick,"['Action', 'Science Fiction']",Action Science Fiction
RoboCop,"['Action', 'Science Fiction']",Action Science Fiction
Speed Racer,"['Action', 'Family', 'Science Fiction']",
How Do You Know,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
Knight and Day,"['Action', 'Comedy']",Action Thriller
Oblivion,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",Action Science Fiction
Star Wars: Episode III - Revenge of the Sith,"['Science Fiction', 'Adventure', 'Action']",Action Adventure
Star Wars: Episode II - Attack of the Clones,"['Adventure', 'Action', 'Science Fiction']",
"Monsters, Inc.","['Animation', 'Comedy', 'Family']",Comedy
The Wolverine,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",Action Adventure
Star Wars: Episode I - The Phantom Menace,"['Adventure', 'Action', 'Science Fiction']",Adventure
The Croods,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Adventure Comedy Family
Asterix at the Olympic Games,"['Fantasy', 'Adventure', 'Comedy', 'Family']",Comedy
Windtalkers,"['Drama', 'Action', 'History', 'War']",Drama History War
The Huntsman: Winter's War,"['Action', 'Adventure', 'Drama']",
Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",Action Adventure
Gravity,"['Science Fiction', 'Thriller', 'Drama']",
Dante's Peak,"['Action', 'Adventure', 'Thriller']",
Teenage Mutant Ninja Turtles: Out of the Shadows,"['Fantasy', 'Action', 'Adventure', 'Comedy']",Action Adventure Comedy
Fantastic Four,"['Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
Night at the Museum,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",Action Comedy
San Andreas,"['Action', 'Drama', 'Thriller']",
Tomorrow Never Dies,"['Adventure', 'Action', 'Thriller']",Action Adventure Thriller
The Patriot,"['Drama', 'History', 'War', 'Action']",Drama
Ocean's Twelve,"['Thriller', 'Crime']",
Mr. & Mrs. Smith,"['Action', 'Comedy', 'Drama', 'Thriller']",Comedy
Insurgent,"['Adventure', 'Science Fiction', 'Thriller']",Adventure
The Aviator,['Drama'],Drama
Gulliver's Travels,['Comedy'],Drama
The Green Hornet,"['Action', 'Crime', 'Comedy']",Action
300: Rise of an Empire,"['Action', 'War']",Action
The Smurfs,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",Adventure Comedy Fantasy
Home on the Range,"['Animation', 'Family']",
Allegiant,"['Adventure', 'Science Fiction']",Adventure Science Fiction
Real Steel,"['Action', 'Science Fiction', 'Drama']",Action
The Smurfs 2,"['Fantasy', 'Family', 'Comedy', 'Animation']",Family Fantasy
Speed 2: Cruise Control,"['Action', 'Adventure', 'Thriller']",
Ender's Game,"['Science Fiction', 'Action', 'Adventure']",Adventure Science Fiction
Live Free or Die Hard,"['Action', 'Thriller']",Action Thriller
The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",
Around the World in 80 Days,"['Action', 'Adventure', 'Comedy']",Adventure Comedy
Ali,['Drama'],Drama
The Cat in the Hat,"['Comedy', 'Fantasy', 'Family']",Comedy
"I, Robot","['Action', 'Science Fiction']",Action Science Fiction
Kingdom of Heaven,"['Drama', 'Action', 'Adventure', 'History', 'War']",Drama
Stuart Little,"['Animation', 'Fantasy', 'Family', 'Comedy']",Comedy Family
The Princess and the Frog,"['Romance', 'Family', 'Animation', 'Music']",Family
The Martian,"['Drama', 'Adventure', 'Science Fiction']",Science Fiction
The Island,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",
Town & Country,"['Comedy', 'Romance']",Comedy
Gone in Sixty Seconds,"['Action', 'Crime', 'Thriller']",Action Crime Thriller
Gladiator,"['Action', 'Drama', 'Adventure']",
Minority Report,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",Science Fiction Thriller
Harry Potter and the Chamber of Secrets,"['Adventure', 'Fantasy', 'Family']",Adventure Fantasy
Casino Royale,"['Adventure', 'Action', 'Thriller']",Action Thriller
Planet of the Apes,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",Action Adventure Science Fiction
Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",Action
Public Enemies,"['History', 'Crime', 'Drama']",
American Gangster,"['Drama', 'Crime']",Crime Drama
True Lies,"['Action', 'Thriller']",Action Thriller
The Taking of Pelham 1 2 3,"['Thriller', 'Drama', 'Crime']",Thriller
Little Fockers,"['Comedy', 'Romance']",Comedy
The Other Guys,"['Action', 'Comedy', 'Crime']",Comedy
Eraser,"['Action', 'Drama', 'Mystery', 'Thriller']",Action Thriller
Django Unchained,"['Drama', 'Western']",
The Hunchback of Notre Dame,"['Drama', 'Animation', 'Family']",
The Emperor's New Groove,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",
The Expendables 2,"['Action', 'Adventure', 'Thriller']",
National Treasure,"['Adventure', 'Action', 'Thriller', 'Mystery']",Action Adventure
Eragon,"['Fantasy', 'Action', 'Adventure', 'Family']",Adventure Family Fantasy
Where the Wild Things Are,"['Family', 'Fantasy']",
Epic,"['Animation', 'Adventure', 'Family', 'Fantasy']",Adventure
The Tourist,"['Action', 'Thriller', 'Romance']",
End of Days,"['Action', 'Fantasy', 'Horror', 'Mystery']",Thriller
Blood Diamond,"['Drama', 'Thriller', 'Action']",Drama
The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']",Drama
Batman Forever,"['Action', 'Crime', 'Fantasy']",Action
Starship Troopers,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action Science Fiction
Cloud Atlas,"['Drama', 'Science Fiction']",Drama Science Fiction
Legend of the Guardians: The Owls of Ga'Hoole,"['Animation', 'Adventure', 'Family', 'Fantasy']",
Catwoman,"['Action', 'Crime']",
Hercules,"['Action', 'Adventure']",Action
Treasure Planet,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",Adventure
Land of the Lost,"['Adventure', 'Comedy', 'Science Fiction']",Science Fiction
The Expendables 3,"['Action', 'Adventure', 'Thriller']",Action Thriller
Point Break,"['Action', 'Crime', 'Thriller']",Action Crime Thriller
Son of the Mask,"['Fantasy', 'Comedy', 'Family', 'Adventure']",
In the Heart of the Sea,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",Drama
The Adventures of Pluto Nash,"['Action', 'Comedy', 'Science Fiction']",Comedy
Green Zone,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",Action Thriller
The Peanuts Movie,['Animation'],
The Spanish Prisoner,"['Crime', 'Drama', 'Mystery', 'Thriller']",Drama
The Mummy Returns,"['Adventure', 'Action', 'Fantasy']",
Gangs of New York,"['Drama', 'History', 'Crime']",Drama
The Flowers of War,"['Drama', 'History', 'War']",Drama
Surf's Up,"['Animation', 'Comedy', 'Family']",
The Stepford Wives,"['Action', 'Comedy', 'Science Fiction']",Comedy
Black Hawk Down,"['Action', 'History', 'War']",Action
The Campaign,['Comedy'],Comedy Drama
The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",Action Science Fiction
Sex and the City 2,"['Comedy', 'Drama', 'Romance']",Comedy
The Road to El Dorado,"['Adventure', 'Animation', 'Comedy', 'Family']",
Ice Age: Continental Drift,"['Animation', 'Comedy', 'Adventure', 'Family']",Adventure Family
Cinderella,"['Romance', 'Fantasy', 'Family', 'Drama']",
The Lovely Bones,"['Fantasy', 'Drama']",Drama
Finding Nemo,"['Animation', 'Family']",
The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",Action Adventure
The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']",Action Adventure
Seventh Son,"['Adventure', 'Fantasy']",Adventure
Lara Croft: Tomb Raider,"['Adventure', 'Fantasy', 'Action', 'Thriller']",Action Adventure
Transcendence,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",Science Fiction Thriller
Jurassic Park III,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",
Rise of the Planet of the Apes,"['Thriller', 'Action', 'Drama', 'Science Fiction']",Drama
The Spiderwick Chronicles,"['Adventure', 'Family', 'Fantasy']",Drama
A Good Day to Die Hard,"['Action', 'Thriller']",Action Thriller
The Alamo,"['Western', 'History', 'War']",
The Incredibles,"['Action', 'Adventure', 'Animation', 'Family']",Action
Cutthroat Island,"['Action', 'Adventure']",Adventure
Percy Jackson & the Olympians: The Lightning Thief,"['Adventure', 'Fantasy', 'Family']",Adventure
Men in Black,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Action Science Fiction
Toy Story 2,"['Animation', 'Comedy', 'Family']",Comedy
Unstoppable,"['Action', 'Thriller']",Action
Rush Hour 2,"['Action', 'Comedy', 'Crime', 'Thriller']",Comedy Thriller
What Lies Beneath,"['Drama', 'Horror', 'Mystery', 'Thriller']",Thriller
Cloudy with a Chance of Meatballs,"['Animation', 'Comedy', 'Family']",Comedy
Ice Age: Dawn of the Dinosaurs,"['Animation', 'Comedy', 'Family', 'Adventure']",Adventure Comedy
The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",Drama
Charlie's Angels,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Action Comedy
The Departed,"['Drama', 'Thriller', 'Crime']",Action Crime Thriller
Mulan,"['Animation', 'Family', 'Adventure']",
Tropic Thunder,"['Action', 'Comedy']",Comedy
The Girl with the Dragon Tattoo,"['Thriller', 'Crime', 'Mystery', 'Drama']",Drama
Die Hard: With a Vengeance,"['Action', 'Thriller']",Action Thriller
Sherlock Holmes,"['Action', 'Adventure', 'Crime', 'Mystery']",
Ben-Hur,['Drama'],Drama
Atlantis: The Lost Empire,"['Animation', 'Family', 'Adventure', 'Science Fiction']",
Alvin and the Chipmunks: The Road Chip,"['Adventure', 'Animation', 'Comedy', 'Family']",Comedy
Valkyrie,"['Drama', 'Thriller', 'History', 'War']",Drama
You Don't Mess with the Zohan,"['Comedy', 'Action']",
Pixels,"['Action', 'Comedy', 'Science Fiction']",Action
A.I. Artificial Intelligence,"['Drama', 'Science Fiction', 'Adventure']",Science Fiction
The Haunted Mansion,"['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']",Comedy
Contact,"['Drama', 'Science Fiction', 'Mystery']",Drama Science Fiction
Hollow Man,"['Action', 'Science Fiction', 'Thriller']",
The Interpreter,"['Crime', 'Thriller']",Action Crime Thriller
